channelId,name,englishName,affiliation,group,subscriptionCount,videoCount,photo
UCp-UfRz1EEPlX6xwfPKd2lQ,Hikone Ch.火之神ひこね,Hinogami Hikone,Axel-V,,7140,332,https://yt3.ggpht.com/ytc/AMLnZu9VKFKN3zTHYYs_H5IA4L_mwI7dmUPzHw3Q5dwh=s800-c-k-c0x00ffffff-no-rj
UCPuqNtP0QO5uNUir6L7U-5g,独身貴族リンネの宴,独身貴族リンネの宴,Independents,,22800,501,https://yt3.ggpht.com/-w9XpW5u4nBINm2rjL-aP6c-UfRmkqsSoDtrwyS7GvXdkEL4tvchWdiYkFiRrQNROj9G-GNQMA=s800-c-k-c0x00ffffff-no-rj
UCpWF1pMyJtMvlynspGnThdw,MamMam Ch. 真夢マム,MamMam,Independents,,121000,83,https://yt3.ggpht.com/Nx25h4-E-z-EKrDXFKeu81qF6fBByTxpZI2-u0ySbDsXDqG5nb9vaGtikOXq1YYngDaUXBnoRPc=s800-c-k-c0x00ffffff-no-rj
UCPYOimOwBfRzqZDXSZgbZ2g,小城夜みるく,Ogiya Miruku,Shinsougumi,,9670,148,https://yt3.ggpht.com/EQr-YjvAz2gF1ipiShDuG911FC9_V2EtW_jrEJVJcdqglOko2bwAJPTbn4_mf0_fYrA8nhRAXw=s800-c-k-c0x00ffffff-no-rj
UCPZgBtMYoFKypEG2SCvBN9A,芦澤サキ / SAKI ASHIZAWA,Saki Ashizawa,Riot Music,,262000,110,https://yt3.ggpht.com/zwuSZSOZ4t4ZqzEnAV4KF7UtlT1xfi_nI9O9zE9JVL6qa9QEcNcOaWWJGsIVttF3UArzJGLbLA=s800-c-k-c0x00ffffff-no-nd-rj
UCQ1U65-CQdIoZ2_NA4Z4F7A,花譜 -KAF-,KAF,KAMITSUBAKI,,706000,212,https://yt3.ggpht.com/uEMlbKP3z3DSH1H3gKZ9sOkYYRXHLXtP5JcbtK9JOtYL3fTQ2qkPCb6VTE09O9BRsj4YGypH9yU=s800-c-k-c0x00ffffff-no-nd-rj
UCq5LQH-bD0Q3ZRhlclBAmqg,魔哩煞,FH_Molissa,Independents,,118000,604,https://yt3.ggpht.com/VlDucXoMAydOKwu8l2lwfFANF2yI-R74KMaC4CjYreaBU0C_cglubVtCdstsdWibV1eR_jO4=s800-c-k-c0x00ffffff-no-rj
UCq6EBsKaFIUpac6fPkGu2PQ,インサイドちゃんMark2 / -INSIDEChan Sisters-,V Inside-chan Mk1 & Mk2,Independents,,23600,1176,https://yt3.ggpht.com/zC-CDqRFGFi5N3IfhRjZzG5n8aj0-pEFLSQLqF080mT2xVhltEAqqzItdhValITlO8gNwVZaNw=s800-c-k-c0x00ffffff-no-rj
UCQ7KYc1-IMQ8_Uz7XTE5DWw,緋赤エリオhiseki_erio channel,Hiseki Erio,Chukorara,,16700,138,https://yt3.ggpht.com/ytc/AMLnZu-WXt6xrMcOoN9pEsJ65ctPqdWuCKfKl-epvXZCAQ=s800-c-k-c0x00ffffff-no-rj
UCq8lTLRtf0UOqsZEpx0ycwQ,えみりチャンネル,Rurikawa Emiri,Pink Punk Pro,,1420,9,https://yt3.ggpht.com/Vnz9c5ZVWognV3hCyhj7__S60lEw12wS2lVKd4g0QkDbKhJKmfiscibHG6oz9PXKKXFeMFthPwo=s800-c-k-c0x00ffffff-no-rj
UCQaGj_l3dqmGWJLEbEmwgFQ,Planya Channel,Planya,Independents,,100000,221,https://yt3.ggpht.com/RBu3PIU_6MzuSLimwDGR1Vo4kH2xe0PQiaRZ2stzbtm2eM4KQmxszBmYGfRC54MVRWwXfAdaLA=s800-c-k-c0x00ffffff-no-rj
UCQaJqos8UXzEWYtnpIZeclA,Lua Channel - 黒ヱるあ,Chloe Lua,Independents,,72400,435,https://yt3.ggpht.com/_NpgJOqFZy-hCA0kcxP5pWMumS1rQAFsppwY5ywouJ6XDo7NonuvHDuqrimQ48UCOP1t4KfR=s800-c-k-c0x00ffffff-no-rj
UCQbn3hkCmc7d-X3pWiHKxpQ,fallenshadow asmr,fallenshadow,Twitch Independents,,139000,66,https://yt3.ggpht.com/EwGTIqpZucltoe0xu0v1ZSkkM0PSc5mEtwKXZhLQ2hNfI5r8lRfR9xgH2AjVaB86kBvQhbwnCA=s800-c-k-c0x00ffffff-no-rj
UCqd9gfQFKjbrkfyr0-enzNw,Kohaku Ch.羽奏 こはく,Kohaku Wakana,Independents,,22800,416,https://yt3.ggpht.com/ytc/AMLnZu--4ied020I2urGmK3jycorONvMiOJ6p53zp0E4=s800-c-k-c0x00ffffff-no-rj
UCQdqGzhc5Ey_5nh_bOowAhg,スメラギパル Pal Sumeragi【WACTOR】,Pal Sumeragi,WACTOR,,20400,112,https://yt3.ggpht.com/hXtm3yQv2dZWzh84me8Jed34EM-2fUW_weHPGNGXshBbN4Kz9N40ilO1OfTfe0NNUPVgjNODsA=s800-c-k-c0x00ffffff-no-rj
UCQgi2mK2f9l0Dky2-YhVTYQ,Kogane Ch. 日向こがね : VOICE-ORE / ぼいそーれ,Himukai Kogane,VOICE-ORE,,24500,127,https://yt3.ggpht.com/ytc/AMLnZu_wndGGGQ5hD4sCY6ruLFBw4P_lPGqI7iKnp7bD=s800-c-k-c0x00ffffff-no-rj
UCqGtqSn0NiOCottKpYwBc4w,Futakuchi Mana Ch.二口魔菜,Futakuchi Mana,Independents,,88500,140,https://yt3.ggpht.com/BbDuDdjREySfFlw1VYb9qeIxl0psT075Aur5lE2s6vn7TxBQ7_blRGbRk7u657Q0_r9cvUWH0w=s800-c-k-c0x00ffffff-no-nd-rj
UCqhhWjpw23dWhJ5rRwCCrMA,Aisha Channel,Aisha,Polygon,,481000,791,https://yt3.ggpht.com/y0EXHHvkkVoFCRa6oBGnxOW_5haAtwxEgca2cpsFseWhbHayh0cB9uu4feuohhxBGXcQR62XTAs=s800-c-k-c0x00ffffff-no-rj
